A,B,C,D,E,F,G,H,class
1,0,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1
0,1,0,1,1,1,0,1,1
0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,1,1,0
1,0,1,0,1,1,0,1,1
1,1,0,0,0,0,0,0,1
0,1,0,1,1,0,0,1,1
0,1,0,0,1,0,1,1,0
0,0,1,0,1,0,1,0,0
1,1,1,0,0,1,1,0,1
1,0,1,1,0,1,1,0,1
1,1,1,1,0,0,1,1,1
0,0,1,1,1,1,1,0,1
1,0,0,1,0,1,1,0,1
1,0,0,1,0,1,1,0,1
0,1,1,1,0,1,1,0,0
0,0,1,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0
1,1,0,1,1,0,0,0,1
1,0,1,0,0,0,0,0,1
1,1,0,0,1,1,0,0,1
1,0,1,1,0,0,0,1,1
1,0,0,0,1,1,1,0,1
0,1,1,0,1,0,1,1,0
1,0,1,0,1,1,0,0,1
1,0,1,0,1,1,0,0,1
0,0,0,0,1,0,1,0,0
1,1,0,1,1,1,0,0,1
1,0,1,1,0,1,0,1,1
1,0,1,0,0,0,0,1,1
1,1,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1
0,1,0,0,1,0,1,1,0
1,0,1,0,1,1,0,0,1
0,1,0,0,1,1,1,0,0
0,0,0,1,1,0,0,1,1
0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,1,1,1
0,0,1,0,1,0,1,0,0
1,1,1,1,0,0,0,0,1
0,0,1,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0
0,1,0,1,0,0,0,1,0
1,0,0,0,0,0,1,0,1
1,1,0,0,0,1,1,1,1
1,0,1,1,0,1,1,0,1
1,1,1,1,1,1,0,0,1
1,0,1,0,0,0,1,0,1
1,0,1,1,0,0,1,1,1
1,0,1,1,0,1,1,0,1
1,0,0,0,1,1,0,1,1
1,1,1,0,1,1,0,1,1
0,1,1,1,1,0,0,1,1
0,1,0,1,1,1,0,0,1
1,1,1,0,0,0,1,0,1
0,0,1,1,1,0,0,0,1
1,1,0,0,0,0,1,1,1
0,1,1,1,0,1,1,0,0
1,0,0,1,1,0,1,0,1
1,0,0,1,0,1,0,0,1
1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,1,1
1,1,0,0,0,1,1,0,1
1,0,1,1,1,0,1,1,1
0,1,1,1,0,1,0,1,0
1,0,1,0,1,0,1,1,1
0,0,0,1,1,0,0,1,1
1,1,1,1,0,1,1,0,1
0,0,0,0,1,0,1,1,0
1,0,1,1,1,0,1,0,1
1,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,1,1
0,0,0,1,1,0,0,1,1
1,0,0,1,0,0,1,0,1
1,1,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,1,1,1,0,0,1
0,1,0,0,1,0,0,1,0
1,0,0,1,1,1,1,0,1
1,1,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,0
1,0,1,1,1,0,0,1,1
0,1,0,1,0,1,0,1,0
1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,1,1
0,0,1,0,1,0,1,1,0
1,0,0,1,0,0,1,1,1
1,0,1,0,1,1,0,1,1
1,0,0,0,0,0,1,1,1
1,0,1,1,1,0,1,1,1
0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,0,1,1
0,1,0,0,0,1,1,1,0
1,0,0,1,0,0,0,0,1
0,0,1,1,1,1,0,0,1
0,0,0,1,0,1,1,1,0
0,0,1,1,1,1,0,1,1
1,0,0,1,1,0,1,1,1
1,1,0,0,0,0,1,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,0,1,0,1,0
0,1,1,1,0,1,0,1,0
1,1,0,0,0,0,1,1,1
1,0,0,0,1,1,1,1,1
0,1,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,1,1,1
1,0,0,1,0,0,1,1,1
1,1,1,0,1,0,0,1,1
0,1,1,1,0,0,1,1,0
1,0,0,1,0,1,1,1,1
0,1,0,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1
0,0,1,1,1,1,0,1,1
0,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,1
0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,0,1,1
0,0,1,0,1,0,0,1,0
0,1,1,0,0,1,0,0,0
0,1,1,1,1,0,0,0,1
0,1,0,0,0,0,0,0,0
1,1,0,1,0,1,0,1,1
0,1,0,0,1,1,0,0,0
0,0,1,1,1,1,0,1,1
1,0,0,0,1,1,1,1,1
1,1,0,1,0,1,0,1,1
1,0,1,0,0,0,1,1,1
0,0,1,1,0,0,1,1,0
0,0,0,0,0,1,1,1,0
1,0,1,0,0,0,1,1,1
0,1,0,1,0,1,0,1,0
0,0,1,0,1,1,0,1,0
1,0,0,0,0,0,1,0,1
1,0,1,0,0,0,1,1,1
1,1,1,1,0,0,1,1,1
1,0,0,0,1,1,1,0,1
1,1,0,1,0,0,1,1,1
0,1,0,1,1,1,0,0,1
0,0,0,0,1,0,0,1,0
0,0,1,1,1,0,0,1,1
0,1,1,0,1,0,1,1,0
0,0,1,0,0,0,0,0,0
1,0,1,0,1,0,1,1,1
1,1,0,0,1,1,1,1,1
1,0,0,0,0,1,1,1,1
0,0,0,1,0,1,1,0,0
0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0
0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,0,1,0
1,1,0,0,1,1,0,0,1
1,0,0,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1
0,0,0,1,1,0,1,1,1
1,0,0,0,1,1,0,1,1
1,0,0,1,1,1,0,1,1
0,0,0,0,1,1,1,1,0
0,0,0,1,0,0,1,1,0
0,0,1,1,1,1,1,0,1
0,0,1,1,0,1,1,0,0
0,0,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1
1,0,0,0,1,1,0,1,1
0,1,0,1,1,0,0,1,1
1,0,0,0,1,0,1,0,1
1,1,1,0,0,0,0,1,1
0,0,1,0,1,0,1,0,0
0,1,1,0,0,1,0,0,0
0,1,1,1,0,1,0,0,0
0,0,1,1,0,0,1,0,0
1,0,0,1,1,1,1,0,1
0,1,0,1,1,0,1,1,1
0,0,0,0,0,0,1,1,0
0,1,1,0,1,0,0,1,0
1,1,0,1,1,1,0,0,1
0,1,1,0,1,1,1,1,0
0,1,1,1,0,1,0,1,0
0,0,0,1,1,0,1,1,1
1,0,1,0,0,0,1,0,1
1,0,1,0,0,1,1,1,1
1,0,1,1,1,1,0,0,1
0,0,1,0,0,1,1,1,0
0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,0,1,1
1,0,0,0,1,1,1,0,1
1,1,1,0,1,1,0,1,1
1,1,1,0,0,0,0,1,1
0,0,0,1,1,1,0,1,1
0,1,0,1,1,1,1,1,1
1,1,0,0,1,1,1,0,1
1,0,0,0,1,0,1,0,1
0,1,1,1,1,1,1,0,1
0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,1,0,1
1,0,0,0,0,1,0,1,1
1,1,1,1,1,0,0,0,1
0,1,1,0,1,0,1,1,0
0,1,0,1,1,1,0,1,1
0,0,1,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0
1,1,1,0,0,0,1,1,1
0,0,1,1,0,1,0,0,0
0,0,1,0,1,1,0,1,0
1,1,1,0,1,0,0,0,1
0,1,1,1,0,1,0,1,0
1,1,1,1,0,1,0,1,1
1,0,1,0,0,1,1,1,1
0,0,1,1,1,1,1,0,1
1,0,1,0,1,1,1,1,1
0,0,0,1,0,0,0,1,0
1,1,1,0,0,0,0,1,1
1,0,1,0,0,0,1,1,1
1,0,0,0,0,1,1,0,1
1,0,1,1,1,0,0,1,1
1,1,0,0,0,0,1,1,1
0,1,1,0,0,1,1,1,0
1,0,1,1,1,1,1,1,1
0,1,1,0,0,0,0,0,0
1,0,1,0,1,0,1,1,1
0,0,0,0,1,1,0,1,0
1,0,0,0,0,1,1,1,1
0,0,0,0,1,1,0,1,0
1,1,0,1,0,0,0,1,1
0,1,0,1,1,1,1,1,1
1,0,0,1,0,1,0,0,1
0,1,1,1,0,0,1,0,0
1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,1
1,1,1,1,0,1,0,1,1
1,1,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,1
1,1,0,0,0,0,1,0,1
1,0,1,0,0,1,0,0,1
0,1,0,0,1,0,1,1,0
0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,1,1
1,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,0,1
1,1,0,0,1,1,1,0,1
0,1,1,1,1,0,0,1,1
1,0,1,1,1,0,1,1,1
1,0,1,0,1,1,0,0,1
1,1,0,0,0,0,1,0,1
1,1,1,1,0,1,0,1,1
1,1,1,0,1,0,1,1,1
1,1,1,1,0,1,1,0,1
1,1,1,0,0,1,0,0,1
1,1,0,0,1,0,0,0,1
0,0,0,1,0,1,0,1,0
1,0,0,1,1,1,1,1,1
1,0,0,0,1,0,1,1,1
1,0,1,0,0,0,0,1,1
0,0,0,1,1,1,1,1,1
1,1,1,1,0,0,0,0,1
1,0,1,1,0,1,1,1,1
1,0,1,1,1,0,1,1,1
1,0,0,1,0,0,0,1,1
0,0,1,0,0,1,1,1,0
1,0,0,1,0,1,0,0,1
0,1,1,1,1,1,1,0,1
1,1,0,1,1,0,1,0,1
0,1,1,1,1,0,0,0,1
1,0,1,1,0,0,1,1,1
0,0,0,0,1,1,1,1,0
0,0,1,1,1,0,1,0,1
0,1,1,1,0,0,1,1,0
1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1
1,1,1,0,1,1,1,0,1
1,0,1,1,0,1,0,0,1
0,0,1,0,0,1,0,1,0
1,1,1,1,1,0,1,1,1
1,0,1,1,1,1,0,1,1
1,0,1,0,0,1,1,1,1
0,0,1,1,1,1,0,1,1
1,1,0,0,0,1,1,1,1
1,0,0,1,1,1,0,1,1
0,1,1,1,1,0,1,1,1
1,1,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,1
0,0,0,1,0,1,0,1,0
0,1,0,1,1,1,1,0,1
0,0,1,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1
1,0,0,1,0,1,0,1,1
1,1,1,0,1,0,0,1,1
1,0,1,1,0,0,0,1,1
0,0,0,0,1,1,1,1,0
1,1,1,1,0,1,0,0,1
0,1,0,0,1,1,1,0,0
0,0,1,0,1,0,0,0,0
0,1,1,1,1,0,0,0,1
0,1,1,0,0,1,1,0,0
1,1,0,1,0,0,0,0,1
1,1,0,0,0,1,1,1,1
0,0,0,1,1,0,1,0,1
1,1,1,1,1,1,0,0,1
1,0,0,0,1,0,1,0,1
1,1,0,1,1,0,1,0,1
0,0,1,1,1,0,0,0,1
0,0,1,1,1,0,1,1,1
1,0,1,0,0,1,1,1,1
1,1,0,1,1,1,0,0,1
1,0,1,0,1,0,1,0,1
0,0,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,1
1,1,0,0,1,0,1,0,1
0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1
0,0,1,0,1,0,0,0,0
0,1,1,1,1,0,0,0,1
0,1,1,1,0,1,1,0,0
0,1,1,0,1,0,1,0,0
1,0,0,1,0,1,1,0,1
1,1,0,0,0,0,1,0,1
0,0,1,1,0,1,1,1,0
0,1,0,1,1,0,0,1,1
0,1,0,1,0,1,0,1,0
1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,1,0,0,1,1,0,0,1
0,0,0,1,0,1,0,0,0
0,1,1,1,1,0,1,0,1
0,1,0,1,1,1,0,1,1
1,1,0,1,1,0,1,1,1
1,1,1,1,0,1,0,0,1
0,1,0,0,0,1,0,1,0
1,1,0,1,1,0,0,1,1
0,1,1,1,0,1,0,1,0
0,0,1,0,0,0,1,1,0
1,0,1,0,1,1,1,0,1
0,1,0,0,0,1,1,0,0
0,0,1,0,1,1,1,1,0
1,0,1,0,0,1,1,1,1
0,1,1,1,1,0,1,1,1
1,0,1,1,0,0,0,0,1
1,0,1,0,0,1,0,1,1
0,0,1,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1
0,1,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,1
0,1,1,1,1,1,0,0,1
0,1,1,0,1,0,0,1,0
0,1,1,1,0,1,1,0,0
0,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,1
1,0,1,0,0,1,0,1,1
1,1,1,0,1,0,1,1,1
0,0,0,1,1,0,0,1,1
0,1,0,1,0,1,0,1,0
0,0,0,1,1,0,1,1,1
0,1,0,1,1,0,0,0,1
0,0,1,0,0,0,0,1,0
0,1,0,0,1,1,1,1,0
1,1,0,0,1,0,0,0,1
1,0,0,0,0,1,1,0,1
0,1,0,1,0,1,0,1,0
0,0,1,0,1,0,0,0,0
1,1,0,1,0,0,1,1,1
1,0,0,1,1,0,0,0,1
0,1,0,0,1,1,1,1,0
1,0,1,0,0,1,1,1,1
1,0,1,0,0,0,1,1,1
1,0,1,1,0,0,0,1,1
1,1,0,0,0,1,0,1,1
0,0,0,0,0,1,0,0,0
0,1,0,1,0,0,1,0,0
1,0,0,0,0,1,1,1,1
0,0,1,1,1,0,0,1,1
0,1,0,1,0,1,0,1,0
1,1,1,0,0,0,1,1,1
0,0,0,0,1,0,1,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,1,0,0,0,1
0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,1,1,0
0,0,0,1,1,1,0,0,1
0,0,0,0,1,1,1,1,0
1,0,1,0,1,0,1,0,1
0,0,0,0,0,1,1,1,0
1,0,0,1,1,0,0,0,1
1,1,0,1,0,1,0,0,1
1,0,1,1,0,1,1,1,1
0,0,0,1,0,1,0,0,0
1,1,1,1,1,1,1,0,1
0,0,0,1,1,1,0,0,1
1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,0,0,1
0,1,1,0,1,1,1,1,0
1,0,1,1,0,1,1,0,1
0,1,1,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0
0,0,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,1
1,0,0,1,1,0,0,1,1
1,1,1,1,0,1,1,0,1
1,1,0,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1
0,0,0,0,0,0,1,1,0
1,0,0,1,0,1,0,1,1
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1
0,0,1,0,0,1,1,0,0
1,0,0,1,0,0,0,1,1
0,0,0,1,1,1,0,1,1
1,1,1,0,1,0,0,0,1
1,1,1,0,0,1,1,0,1
1,0,0,0,1,1,0,1,1
1,0,0,1,1,0,0,0,1
1,0,1,0,0,0,1,0,1
1,1,1,0,1,1,1,0,1
0,0,0,1,1,1,0,1,1
1,1,0,1,0,0,0,1,1
1,1,1,0,1,1,0,0,1
1,0,1,0,0,1,0,0,1
1,1,0,1,0,0,1,0,1
0,0,0,0,1,1,1,1,0
0,0,0,0,0,1,1,1,0
1,0,0,1,0,1,0,1,1
0,1,0,1,0,1,1,1,0
0,0,0,0,1,0,0,0,0
0,1,0,0,1,0,1,0,0
1,0,1,1,1,1,0,1,1
1,1,1,1,1,0,0,1,1
0,1,1,1,1,0,0,1,1
1,1,0,0,1,0,0,1,1
0,1,1,0,1,0,0,1,0
0,0,0,0,1,1,0,0,0
0,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0
1,0,1,1,1,1,1,0,1
0,1,1,0,0,1,0,0,0
0,1,1,0,1,1,0,1,0
1,1,1,0,0,0,0,1,1
1,0,1,1,1,1,0,0,1
0,1,1,0,1,0,0,0,0
0,1,1,0,1,1,0,1,0
0,1,1,1,1,0,1,1,1
0,1,0,1,1,0,1,1,1
1,0,0,1,0,1,1,0,1
1,1,0,1,1,1,0,1,1
0,0,0,0,1,1,1,0,0
0,1,0,0,0,1,0,0,0
1,1,0,1,0,1,1,0,1
1,0,0,0,0,1,1,1,1
0,0,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,1,0,0
1,1,0,0,1,1,1,1,1
1,0,1,0,1,1,0,1,1
0,0,1,1,1,0,1,0,1
1,1,1,0,0,0,0,0,1
1,1,1,0,0,1,0,0,1
0,1,1,1,1,1,0,0,1
0,1,1,1,1,0,1,0,1
0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,1
1,1,1,0,1,0,1,1,1
1,0,1,0,1,1,0,0,1
0,1,1,0,1,1,0,0,0
0,1,1,0,0,1,0,0,0
0,1,0,1,1,0,0,0,1
0,1,1,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0
1,1,1,0,1,0,1,1,1
1,1,1,1,0,1,0,0,1
1,1,1,0,0,1,1,0,1
0,0,1,1,1,1,0,1,1
0,0,1,1,0,1,0,0,0
1,1,0,0,1,1,0,0,1
0,0,0,0,1,0,1,1,0
1,1,0,1,0,1,0,1,1
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,1,0
1,0,0,1,1,1,0,0,1
0,0,1,0,1,1,0,0,0
0,0,1,1,1,0,0,0,1
1,1,0,1,0,0,1,0,1
1,1,0,1,1,1,1,0,1
1,0,1,1,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,1,1,0,0,1,0,0,1
1,0,1,0,1,1,0,0,1
0,0,1,0,0,1,0,1,0
1,0,1,0,0,1,0,0,1
1,0,0,0,1,0,1,1,1
0,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,1,1
0,0,1,0,0,0,1,1,0
1,0,1,1,0,0,1,0,1
0,0,1,1,0,1,1,1,0
1,0,1,0,0,1,1,0,1
1,1,1,0,0,0,1,1,1
1,1,0,1,0,0,1,0,1
1,0,1,0,0,1,0,0,1
0,0,1,0,1,0,1,0,0
0,0,1,1,1,1,1,0,1
1,0,0,1,1,1,0,0,1
1,0,0,1,1,0,1,0,1
0,0,0,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1
0,0,0,1,1,1,0,0,1
0,0,1,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0
1,0,1,1,1,1,1,1,1
0,1,1,0,1,0,0,1,0
1,0,1,1,1,0,1,0,1
0,0,1,0,1,0,0,0,0
0,1,0,0,0,1,1,0,0
1,1,1,1,1,1,1,0,1
1,1,1,0,0,1,1,1,1
0,0,0,0,0,1,1,0,0
0,1,1,0,0,0,0,0,0
0,0,1,0,0,1,0,1,0
1,1,0,1,0,0,1,0,1
1,1,1,0,0,1,1,1,1
1,0,1,0,0,1,1,0,1
0,1,0,1,1,0,1,0,1
0,1,1,1,1,1,0,1,1
1,0,1,0,0,1,1,1,1
0,1,0,1,0,0,1,0,0
1,1,0,1,0,1,1,1,1
1,1,0,0,0,0,0,1,1
1,0,1,1,0,1,1,0,1
0,1,0,0,0,1,0,1,0
0,0,0,0,0,1,1,0,0
1,1,0,1,0,1,1,1,1
1,0,0,1,0,1,1,0,1
0,0,1,0,1,1,0,0,0
1,1,0,0,1,0,1,1,1
1,1,1,1,0,1,1,0,1
0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,1
0,1,1,0,0,1,1,1,0
0,1,0,1,0,1,0,1,0
1,0,1,1,1,0,0,0,1
1,0,1,1,0,0,0,1,1
1,0,1,1,0,0,1,1,1
0,1,0,0,1,1,0,1,0
1,1,0,0,1,0,0,1,1
1,1,0,0,0,1,0,0,1
0,0,0,1,1,1,0,0,1
1,1,0,1,0,1,1,1,1
0,1,0,1,1,0,1,1,1
0,1,1,0,1,1,1,0,0
1,1,1,1,1,1,0,1,1
0,0,0,1,1,1,0,0,1
0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,1,1
0,0,0,1,1,1,1,0,1
1,1,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0,1
1,1,1,0,0,0,1,0,1
1,1,0,0,0,1,0,0,1
1,0,1,0,1,0,0,0,1
1,0,0,0,1,0,1,1,1
1,0,1,0,1,1,0,0,1
0,1,0,0,0,1,1,1,0
0,0,1,1,1,0,1,0,1
0,0,0,1,1,0,1,1,1
0,0,1,1,1,1,0,0,1
0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,1
0,0,0,0,0,1,1,1,0
1,0,1,0,1,1,1,0,1
0,0,1,0,1,1,0,1,0
0,1,1,1,0,1,1,0,0
0,1,0,0,0,0,0,1,0
1,0,1,0,0,1,0,1,1
1,0,1,0,1,1,0,0,1
0,1,1,1,1,0,1,1,1
1,0,1,0,1,1,1,1,1
0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1
1,0,0,0,1,1,1,0,1
0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,1,0
1,0,1,1,1,1,0,0,1
1,0,1,1,0,1,1,1,1
0,0,0,1,1,1,0,1,1
0,0,1,0,1,1,1,1,0
0,0,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,0
1,1,0,0,1,0,0,0,1
0,1,1,0,1,1,1,0,0
1,1,1,1,0,1,1,0,1
1,0,1,1,0,1,0,0,1
0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,1,0,1
1,0,1,0,0,0,0,1,1
0,0,1,1,0,1,1,1,0
0,0,0,1,0,1,0,1,0
0,0,0,1,1,1,0,0,1
1,1,0,0,1,1,0,1,1
0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,0,1
1,1,0,1,1,0,0,1,1
1,0,1,0,0,0,1,1,1
1,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,1,0
0,1,1,0,0,1,1,0,0
1,1,1,1,1,0,0,0,1
0,1,0,0,0,1,0,0,0
1,1,1,1,0,1,1,0,1
1,1,0,1,0,0,0,0,1
1,1,0,0,1,0,1,1,1
0,1,1,0,0,0,1,0,0
1,1,1,1,0,1,0,0,1
1,1,0,0,1,1,1,0,1
0,0,0,1,1,0,1,0,1
1,1,1,1,1,0,1,0,1
0,0,1,1,1,0,1,0,1
1,0,1,1,0,0,1,1,1
1,1,0,1,0,1,1,0,1
1,1,0,0,1,0,1,1,1
1,1,0,1,0,1,1,1,1
1,0,1,1,0,0,0,0,1
1,0,0,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1
1,0,0,1,0,0,0,0,1
1,1,0,0,1,0,1,0,1
1,0,0,0,0,0,0,1,1
1,0,1,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,1
1,0,1,0,1,1,1,1,1
1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,1,1,1
0,1,1,0,0,0,1,1,0
0,1,1,1,1,0,1,1,1
0,0,1,0,1,0,0,1,0
1,0,1,1,1,1,1,0,1
1,1,1,0,0,0,1,1,1
0,0,1,1,0,1,0,1,0
1,0,1,0,1,0,0,0,1
0,0,0,1,1,0,1,0,1
0,0,1,0,0,0,1,1,0
1,1,0,1,0,1,0,0,1
1,1,0,1,1,0,1,0,1
1,0,1,0,1,0,1,0,1
1,1,1,0,0,1,1,0,1
0,0,1,0,1,0,1,1,0
0,1,1,0,0,1,1,0,0
0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0
0,1,1,0,1,1,1,1,0
1,1,1,1,0,1,1,1,1
0,0,1,1,0,1,1,0,0
1,0,0,1,0,1,1,1,1
0,1,1,0,1,1,1,0,0
0,0,1,0,0,1,0,1,0
1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,1,1,1
0,0,1,1,1,1,1,0,1
0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,1,1,1
0,1,0,0,1,1,1,0,0
0,0,0,1,1,0,1,0,1
0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,1,1,1
0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,1,0,0
1,0,0,0,1,0,0,1,1
0,1,0,0,0,1,0,0,0
1,1,0,1,1,1,0,0,1
1,1,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,1
1,1,0,1,0,0,0,0,1
1,1,0,0,0,1,1,0,1
0,1,1,0,1,1,0,1,0
1,1,0,1,1,0,1,1,1
0,1,1,1,0,0,1,0,0
1,0,1,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1
1,1,0,0,1,0,1,1,1
1,0,1,0,0,0,1,0,1
0,1,0,0,0,1,0,0,0
1,1,0,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0
1,1,0,1,0,0,0,1,1
0,0,1,0,1,1,1,1,0
0,0,1,1,0,0,1,1,0
0,1,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,1
0,0,0,1,1,1,0,0,1
0,1,0,1,0,1,1,0,0
0,0,0,1,1,0,1,1,1
1,0,0,1,1,0,0,0,1
0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,0,1
0,1,0,0,1,1,1,0,0
0,0,1,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1
1,0,1,1,0,0,1,1,1
0,0,1,1,1,0,0,0,1
1,0,1,1,1,1,0,0,1
0,1,0,0,0,1,1,1,0
1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,0,1
1,1,1,0,1,0,1,0,1
0,1,0,0,1,0,0,1,0
1,0,1,1,1,0,1,0,1
1,0,1,1,1,0,0,0,1
1,1,1,0,0,1,1,1,1
0,0,0,0,1,1,1,0,0
0,1,1,1,0,1,0,0,0
1,1,1,1,0,0,1,1,1
1,1,0,0,1,1,0,0,1
1,1,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0
0,1,1,1,0,0,1,1,0
1,1,0,0,1,0,1,1,1
1,0,1,0,1,0,0,0,1
0,1,1,0,1,0,1,0,0
1,1,0,0,0,1,0,1,1
1,0,0,0,1,1,0,1,1
1,1,1,1,1,0,1,1,1
0,0,0,1,0,0,0,0,0
1,1,1,0,1,1,1,0,1
1,0,1,1,0,0,1,0,1
0,0,0,1,1,0,1,1,1
1,1,0,0,0,0,1,0,1
1,0,1,1,1,1,0,0,1
1,0,1,1,0,1,1,1,1
1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,0
1,1,0,1,1,1,1,0,1
0,0,0,1,1,0,0,1,1
1,1,1,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0
0,0,0,1,1,0,1,0,1
1,1,1,0,1,1,0,1,1
1,0,1,0,0,1,1,0,1
1,0,0,1,0,1,0,1,1
0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,1,1,0
0,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,0,1
0,1,1,1,1,0,1,1,1
0,0,1,0,1,0,1,0,0
1,0,0,1,0,1,1,1,1
0,0,1,1,1,1,1,0,1
0,0,0,1,0,1,1,1,0
1,1,1,0,0,0,1,0,1
1,0,0,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,0,1
1,0,0,0,1,0,1,1,1
1,1,0,0,0,0,1,1,1
0,0,1,0,1,0,1,0,0
1,1,1,1,1,0,1,1,1
0,0,1,1,0,1,1,0,0
0,1,0,1,1,0,0,0,1
1,1,0,0,1,0,0,1,1
0,0,1,1,0,1,1,1,0
1,1,1,1,0,1,0,1,1
1,1,0,0,1,0,1,0,1
1,1,0,1,1,1,1,1,1
